;Database,NILUBASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Comments,Reflectance was converted to exact normalised radiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Source,NIVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Acknowledgements,"Dominique Durand, Jo Hoekedal, Kai Sorensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Reference,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Elevation,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Missing,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DDS_ID,DDS_NAME,Year,Month,Date,Hour,Minute,Longitude,Latitude,Depth,Chla_hplc,Chla_fluor,Kd490,TSM,acdm443,bbp443,T865,exLwn412,exLwn443,exLwn490,exLwn510,exLwn531,exLwn555,exLwn620,exLwn670,exLwn681,exLwn709,Flag,Campaign,Comments
ID,ii,dds_name,YYYY,MM,DD,hh,mm,decimal_degrees,decimal_degrees,metre,mg/m3,mg/m3,1/m,g/m3,1/m,1/m,None,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,mW/cm2/um/sr,BinaryCode,Cruisename,None
String,Integer,String,Long,Integer,Integer,Integer,Integer,Float,Float,Float,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,String,String
NI03-00019,3,VeniceTower,2002,6,26,11,38,12.51,45.31,0,1.11,NaN,NaN,NaN,NaN,NaN,NaN,0.0091823,0.010002,0.011749,0.011443,NaN,0.0095668,NaN,0.0013644,NaN,NaN,NA,NA,412_443_490_510_555_620_683
NI00-00020,0,XDDS,2002,6,27,10,55,9.745,58.3633,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009083,0.01284,0.01842,0.01856,NaN,0.01696,0.004917,0.003145,NaN,NaN,NA,NA,412_443_490_510_555_620_684
NI00-00021,0,XDDS,2002,7,3,9,55,8.8833,58.3333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003934,0.00506,0.006884,0.006967,NaN,0.007095,0.001839,0.00122,NaN,NaN,NA,NA,412_443_490_510_555_620_685
NI03-00022,3,VeniceTower,2002,7,18,9,35,12.51,45.31,0,0.89,NaN,NaN,NaN,NaN,NaN,NaN,0.01118,0.012598,0.015368,0.014489,NaN,0.012302,NaN,0.0021181,NaN,NaN,NA,NA,412_443_490_510_555_620_686
NI00-00023,0,XDDS,2002,8,1,11,0,10.2664,58.598,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0051355,0.0064278,0.0084555,0.008399,NaN,0.007297,0.00174,0.00108,NaN,NaN,NA,NA,412_443_490_510_555_620_687
NI00-00024,0,XDDS,2002,8,14,10,35,13.72,54.58,0,2.11,NaN,NaN,NaN,NaN,NaN,NaN,0.0024371,0.006457,0.0081824,NaN,NaN,0.0039506,0.0023764,0.0024601,NaN,NaN,NA,NA,412_443_490_510_555_620_688
NI00-00025,0,XDDS,2002,8,15,10,0,14.02,54.12,0,4.24,NaN,NaN,NaN,NaN,NaN,NaN,0.0021502,0.0054465,0.0068928,NaN,NaN,0.0053129,0.0035919,0.0040319,NaN,NaN,NA,NA,412_443_490_510_555_620_689
NI00-00026,0,XDDS,2002,8,21,10,10,11.99,54.22,0,2.75,NaN,NaN,NaN,NaN,NaN,NaN,0.0018315,0.0047289,0.0056068,NaN,NaN,0.0028768,0.0018612,0.0022671,NaN,NaN,NA,NA,412_443_490_510_555_620_690
NI00-00027,0,XDDS,2002,8,29,11,1,10.2483,58.8258,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032527,0.0044995,0.0072596,0.0079805,NaN,0.0086559,0.0022016,0.0014962,NaN,NaN,NA,NA,412_443_490_510_555_620_691
NI00-00028,0,XDDS,2002,9,3,10,0,11.96,54.22,0,1.54,NaN,NaN,NaN,NaN,NaN,NaN,0.0033782,0.0069072,0.0078335,NaN,NaN,0.0032145,0.002108,0.002056,NaN,NaN,NA,NA,412_443_490_510_555_620_692
NI00-00029,0,XDDS,2002,9,3,10,5,10.6913,58.9605,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011875,0.016193,0.025993,0.028948,NaN,0.030483,0.0097972,0.0064039,NaN,NaN,NA,NA,412_443_490_510_555_620_693
NI00-00030,0,XDDS,2003,3,21,10,18,14.41,-22.88,0,15.6,NaN,NaN,NaN,NaN,NaN,NaN,0.0013331,0.0017406,0.0021993,NaN,NaN,0.0028044,0.0016301,0.004029,NaN,NaN,NA,NA,412_443_490_510_555_620_694
NI00-00031,0,XDDS,2003,3,22,11,38,14.27,-23.08,0,18.09,NaN,NaN,NaN,NaN,NaN,NaN,0.0022307,0.0029652,0.003469,NaN,NaN,0.0038128,0.0024472,0.0048842,NaN,NaN,NA,NA,412_443_490_510_555_620_695
NI00-00032,0,XDDS,2003,3,23,7,20,13.31,-23,0,2.21,NaN,NaN,NaN,NaN,NaN,NaN,0.0052838,0.0066643,0.0072849,NaN,NaN,0.0019335,0.001271,0.0022765,NaN,NaN,NA,NA,412_443_490_510_555_620_696
NI00-00033,0,XDDS,2003,3,25,11,10,13.86,-22,0,9.82,NaN,NaN,NaN,NaN,NaN,NaN,0.0026742,0.0024851,0.0033389,NaN,NaN,0.0035752,0.0013766,0.0035693,NaN,NaN,NA,NA,412_443_490_510_555_620_697
NI00-00034,0,XDDS,2003,5,9,8,30,10.7545,59.2315,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001045,0.002512,0.005093,0.006476,NaN,0.009536,NaN,0.006686,NaN,NaN,NA,NA,412_443_490_510_555_620_698
NI03-00035,3,VeniceTower,2003,5,13,8,48,12.51,45.31,0,0.97,NaN,NaN,NaN,NaN,NaN,NaN,0.0074883,0.0094562,0.012959,0.013677,NaN,0.013202,NaN,0.0029028,NaN,NaN,NA,NA,412_443_490_510_555_620_699
NI00-00036,0,XDDS,2003,5,16,14,40,10.5687,59.8152,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001788,0.00271,0.004649,0.005462,NaN,0.007311,0.003601,0.002331,NaN,NaN,NA,NA,412_443_490_510_555_620_700
NI00-00037,0,XDDS,2003,6,16,10,20,10.5635,59.8144,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02297,0.03132,0.04659,0.05151,NaN,0.05401,0.01193,0.007608,NaN,NaN,NA,NA,412_443_490_510_555_620_701
NI00-00038,0,XDDS,2003,6,18,8,40,9.6795,58.6428,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09233,0.1056,0.1315,0.1358,NaN,0.1292,0.03677,0.0224,NaN,NaN,NA,NA,412_443_490_510_555_620_702
NI00-00039,0,XDDS,2003,6,19,9,15,10.5937,59.3648,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001404,0.002262,0.003877,0.004574,NaN,0.006124,0.003341,0.002265,NaN,NaN,NA,NA,412_443_490_510_555_620_703
